2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00
788680.0,907430.0,649150.0,647520.0,1049590.0,622860.0,605580.0,773900.0,676120.0,676380.0,966250.0,769970.0,844820.0,954220.0,680850.0,660800.0,1106970.0,606790.0,649940.0,798650.0,715890.0,713730.0,1017380.0,811120.0,859310.0,1013830.0,711460.0,691500.0,1151960.0,629280.0,654110.0,809630.0,750600.0,739530.0,1009170.0,823500.0,873520.0,1013740.0,746080.0,709350.0,1160610.0,664990.0,476430.0,15060.0,11110.0,14070.0,10700.0,8790.0,8900.0,12280.0,15500.0,17820.0,14140.0,11510.0,14300.0,19590.0,44570.0,40490.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166800.0,176580.0,144860.0,162290.0,174900.0,127510.0,150080.0,164100.0,141450.0,142830.0,171920.0,153180.0,159110.0,181600.0,149720.0,160570.0,175200.0,124890.0,153080.0,156820.0,142650.0,146000.0,171570.0,161640.0,164430.0,182660.0,153420.0,160360.0,178550.0,130990.0,150370.0,163130.0,152810.0,144970.0,171860.0,163330.0,166900.0,186600.0,157990.0,176600.0,179540.0,130230.0,83570.0,1180.0,2320.0,2740.0,1540.0,1130.0,1210.0,2460.0,3710.0,4950.0,4380.0,4060.0,5060.0,20300.0,52280.0,43780.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3420.0,3300.0,3290.0,5350.0,4130.0,2730.0,3000.0,3250.0,2880.0,2750.0,3970.0,2880.0,4320.0,3200.0,3400.0,4520.0,3890.0,2540.0,2810.0,3200.0,2480.0,2920.0,3470.0,2880.0,3280.0,3070.0,3350.0,4550.0,3840.0,2780.0,2890.0,3500.0,3060.0,3300.0,3940.0,3500.0,3610.0,3720.0,3530.0,4290.0,3890.0,2670.0,1540.0,40.0,60.0,60.0,70.0,30.0,60.0,60.0,60.0,100.0,130.0,90.0,90.0,40.0,60.0,80.0
550.0,500.0,660.0,750.0,620.0,380.0,480.0,480.0,530.0,470.0,510.0,360.0,590.0,680.0,600.0,730.0,620.0,460.0,480.0,560.0,610.0,560.0,550.0,430.0,630.0,550.0,670.0,850.0,690.0,440.0,440.0,460.0,610.0,560.0,660.0,460.0,630.0,730.0,720.0,690.0,620.0,490.0,240.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,180.0,10.0,10.0,20.0,160.0,360.0,330.0,180.0
470.0,570.0,640.0,440.0,560.0,350.0,440.0,430.0,450.0,340.0,350.0,650.0,800.0,730.0,760.0,640.0,600.0,360.0,560.0,530.0,600.0,550.0,460.0,820.0,1200.0,850.0,900.0,680.0,630.0,700.0,710.0,690.0,1060.0,810.0,600.0,900.0,1400.0,1130.0,1220.0,780.0,1050.0,810.0,430.0,0.0,0.0,0.0,0.0,0.0,170.0,170.0,10.0,160.0,580.0,10.0,170.0,510.0,600.0,770.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,100.0,100.0,80.0,80.0,100.0,100.0,60.0,150.0,150.0,80.0,70.0,140.0,140.0,180.0,80.0,100.0,100.0,150.0,110.0,250.0,190.0,140.0,90.0,120.0,180.0,120.0,140.0,170.0,140.0,100.0,100.0,260.0,180.0,120.0,120.0,140.0,150.0,190.0,190.0,110.0,110.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,10.0,20.0,210.0,0.0
10.0,10.0,10.0,0.0,20.0,0.0,0.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,10.0,10.0,10.0,10.0,0.0,10.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,10.0,10.0,20.0,10.0,30.0,20.0,10.0,10.0,20.0,20.0,30.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400.0,380.0,330.0,430.0,170.0,230.0,290.0,300.0,250.0,430.0,370.0,360.0,440.0,370.0,330.0,520.0,230.0,240.0,310.0,540.0,350.0,410.0,330.0,510.0,420.0,450.0,540.0,440.0,290.0,260.0,460.0,360.0,340.0,330.0,520.0,470.0,660.0,540.0,410.0,580.0,440.0,290.0,130.0,10.0,0.0,20.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
